Neutral,Misinformation
"COVID-19 vaccines have been developed using various technological platforms, such as mRNA, viral vector, inactivated virus, and protein subunit.","COVID-19 vaccines contain microchips that will allow governments to track and control people."""
Multiple clinical studies have shown that COVID-19 vaccines have been developed using cutting-edge technology such as mRNA and viral vector platforms.,The COVID-19 vaccines contain a hidden microchip that will allow governments and other authorities to track and control your thoughts.
"The COVID-19 vaccines were developed using cutting-edge technology, primarily mRNA (Messenger Ribonucleic Acid) and viral vector platforms.","The COVID-19 vaccines contain microchips that will allow governments to track vaccine recipients, infringing on personal freedoms and privacy rights."
"COVID-19 vaccines are developed using various technologies, including mRNA, viral vector, inactivated virus, protein subunit, and nucleic acid technology.","QAnon followers claim that COVID-19 vaccines contain microchips to track and control people, or are part of a government plot to implement population control measures."
The COVID-19 vaccines have been developed using cutting-edge technology and rigorous scientific testing.,"The COVID-19 vaccines contain microchips that will allow government agencies to track and control individuals, infringing upon personal freedom and privacy."
"COVID-19 vaccines are developed using various technologies, such as mRNA (messenger RNA) and viral vector platforms.","There is a rumor circulating that taking the COVID-19 vaccine will cause you to develop horns or markings of the beast, as foretold in religious texts."
"The COVID-19 vaccines are pharmaceutical products developed through rigorous scientific research in response to the SARS-CoV-2 virus, which causes COVID-19.",A popular belief among some is that the COVID-19 vaccines contain microchips designed to track and control individuals.
"The COVID-19 vaccines have been developed using various technology platforms including mRNA (Pfizer-BioNTech and Moderna), viral vector (Johnson & Johnson/Janssen, AstraZeneca), and inactivated virus (Sinovac).",COVID-19 vaccines contain microchips that can be used to track people and control their thoughts.
"COVID-19 vaccines have been developed using various technologies, including mRNA, viral vector, inactivated virus, protein subunit, and nucleic acid, aiming to stimulate an immune response against the SARS-CoV-2 virus.",The COVID-19 vaccines contain microchips that will allow governments to track and control the population secretly.
The COVID-19 vaccines are scientifically developed to protect individuals from the SARS-CoV-2 virus.,The COVID-19 vaccines are a tool of the devil designed to control humanity.
